2025-08-09 12:40:16.637 | main | INFO | io.prometheus.jmx.JavaAgent | Starting ...
2025-08-09 12:40:16.979 | main | INFO | io.prometheus.jmx.JavaAgent | HTTP enabled [true]
2025-08-09 12:40:16.980 | main | INFO | io.prometheus.jmx.JavaAgent | HTTP host:port [0.0.0.0:7002]
2025-08-09 12:40:16.980 | main | INFO | io.prometheus.jmx.JavaAgent | Starting HTTPServer ...
2025-08-09 12:40:17.032 | main | INFO | io.prometheus.jmx.JavaAgent | HTTPServer started
2025-08-09 12:40:17.033 | main | INFO | io.prometheus.jmx.JavaAgent | OpenTelemetry enabled [false]
2025-08-09 12:40:17.033 | main | INFO | io.prometheus.jmx.JavaAgent | Running ...
50070 records sent, 10012.0 records/sec (4.77 MB/sec), 1.0 ms avg latency, 9.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 7 ms 99.9th.
50070 records sent, 10012.0 records/sec (4.77 MB/sec), 0.9 ms avg latency, 9.0 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 5 ms 99.9th.
50069 records sent, 10011.8 records/sec (4.77 MB/sec), 0.9 ms avg latency, 15.0 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 7 ms 99.9th.
50034 records sent, 10006.8 records/sec (4.77 MB/sec), 0.9 ms avg latency, 6.0 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 4 ms 99.9th.
50067 records sent, 10011.4 records/sec (4.77 MB/sec), 0.9 ms avg latency, 9.0 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 6 ms 99.9th.
50060 records sent, 10010.0 records/sec (4.77 MB/sec), 0.9 ms avg latency, 9.0 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 5 ms 99.9th.
50060 records sent, 10012.0 records/sec (4.77 MB/sec), 0.9 ms avg latency, 9.0 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 6 ms 99.9th.
50050 records sent, 10010.0 records/sec (4.77 MB/sec), 1.1 ms avg latency, 12.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 7 ms 99.9th.
50049 records sent, 10009.8 records/sec (4.77 MB/sec), 1.0 ms avg latency, 7.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 4 ms 99.9th.
50031 records sent, 10006.2 records/sec (4.77 MB/sec), 1.0 ms avg latency, 8.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 6 ms 99.9th.
50059 records sent, 10011.8 records/sec (4.77 MB/sec), 0.9 ms avg latency, 11.0 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 9 ms 99.9th.
50051 records sent, 10010.2 records/sec (4.77 MB/sec), 1.1 ms avg latency, 35.0 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 32 ms 99.9th.
50050 records sent, 10008.0 records/sec (4.77 MB/sec), 1.0 ms avg latency, 9.0 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 7 ms 99.9th.
50049 records sent, 10009.8 records/sec (4.77 MB/sec), 0.9 ms avg latency, 8.0 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 6 ms 99.9th.
50061 records sent, 10010.2 records/sec (4.77 MB/sec), 1.0 ms avg latency, 8.0 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 6 ms 99.9th.
50071 records sent, 10010.2 records/sec (4.77 MB/sec), 1.0 ms avg latency, 9.0 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 7 ms 99.9th.
50069 records sent, 10011.8 records/sec (4.77 MB/sec), 0.9 ms avg latency, 9.0 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 7 ms 99.9th.
50059 records sent, 10009.8 records/sec (4.77 MB/sec), 1.0 ms avg latency, 9.0 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 7 ms 99.9th.
50060 records sent, 10008.0 records/sec (4.77 MB/sec), 0.9 ms avg latency, 8.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 6 ms 99.9th.
50070 records sent, 10012.0 records/sec (4.77 MB/sec), 0.9 ms avg latency, 9.0 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 6 ms 99.9th.
50071 records sent, 10012.2 records/sec (4.77 MB/sec), 1.0 ms avg latency, 9.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 6 ms 99.9th.
50060 records sent, 10010.0 records/sec (4.77 MB/sec), 1.0 ms avg latency, 17.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 8 ms 99.9th.
50030 records sent, 10006.0 records/sec (4.77 MB/sec), 1.0 ms avg latency, 8.0 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 6 ms 99.9th.
50059 records sent, 10011.8 records/sec (4.77 MB/sec), 1.0 ms avg latency, 9.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 6 ms 99.9th.
50050 records sent, 10010.0 records/sec (4.77 MB/sec), 1.1 ms avg latency, 9.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 7 ms 99.9th.
50061 records sent, 10012.2 records/sec (4.77 MB/sec), 1.0 ms avg latency, 9.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 6 ms 99.9th.
50050 records sent, 10010.0 records/sec (4.77 MB/sec), 1.0 ms avg latency, 10.0 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 6 ms 99.9th.
50040 records sent, 10008.0 records/sec (4.77 MB/sec), 0.9 ms avg latency, 6.0 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 3 ms 99.9th.
50069 records sent, 10011.8 records/sec (4.77 MB/sec), 1.0 ms avg latency, 9.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 6 ms 99.9th.
50050 records sent, 10010.0 records/sec (4.77 MB/sec), 1.1 ms avg latency, 9.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 7 ms 99.9th.
50051 records sent, 10008.2 records/sec (4.77 MB/sec), 1.1 ms avg latency, 9.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 6 ms 99.9th.
50055 records sent, 10011.0 records/sec (4.77 MB/sec), 1.1 ms avg latency, 9.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 8 ms 99.9th.
50055 records sent, 10011.0 records/sec (4.77 MB/sec), 1.0 ms avg latency, 8.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 5 ms 99.9th.
50070 records sent, 10010.0 records/sec (4.77 MB/sec), 1.0 ms avg latency, 9.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 7 ms 99.9th.
50047 records sent, 10009.4 records/sec (4.77 MB/sec), 1.0 ms avg latency, 7.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 4 ms 99.9th.
50053 records sent, 10008.6 records/sec (4.77 MB/sec), 1.9 ms avg latency, 90.0 ms max latency, 1 ms 50th, 2 ms 95th, 46 ms 99th, 87 ms 99.9th.
50070 records sent, 10012.0 records/sec (4.77 MB/sec), 1.0 ms avg latency, 9.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 6 ms 99.9th.
50068 records sent, 10013.6 records/sec (4.77 MB/sec), 1.0 ms avg latency, 9.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 7 ms 99.9th.
50041 records sent, 10006.2 records/sec (4.77 MB/sec), 1.0 ms avg latency, 7.0 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 4 ms 99.9th.
50051 records sent, 10010.2 records/sec (4.77 MB/sec), 1.0 ms avg latency, 8.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 7 ms 99.9th.
50067 records sent, 10009.4 records/sec (4.77 MB/sec), 1.0 ms avg latency, 17.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 8 ms 99.9th.
50046 records sent, 10009.2 records/sec (4.77 MB/sec), 1.0 ms avg latency, 7.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 5 ms 99.9th.
50057 records sent, 10007.4 records/sec (4.77 MB/sec), 1.0 ms avg latency, 9.0 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 5 ms 99.9th.
50070 records sent, 10012.0 records/sec (4.77 MB/sec), 1.1 ms avg latency, 9.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 8 ms 99.9th.
50059 records sent, 10009.8 records/sec (4.77 MB/sec), 1.0 ms avg latency, 9.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 5 ms 99.9th.
50061 records sent, 10012.2 records/sec (4.77 MB/sec), 1.0 ms avg latency, 18.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 7 ms 99.9th.
50020 records sent, 10004.0 records/sec (4.77 MB/sec), 1.0 ms avg latency, 5.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 2 ms 99.9th.
50060 records sent, 10012.0 records/sec (4.77 MB/sec), 1.1 ms avg latency, 8.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 6 ms 99.9th.
50060 records sent, 10010.0 records/sec (4.77 MB/sec), 2.3 ms avg latency, 107.0 ms max latency, 1 ms 50th, 2 ms 95th, 63 ms 99th, 103 ms 99.9th.
50059 records sent, 10011.8 records/sec (4.77 MB/sec), 1.1 ms avg latency, 9.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 6 ms 99.9th.
